"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"","??","?","?","","","","wi","s?n","","","","wis?n","","wisen"
"","??","?","?","","","","?","ses","","","","?ses","","wises"
"","??","?","?","","","","?","s?n","","","","?s?n","","wiso?"
"","??","?","?","","","","?","s?","","","","?s?","","wiso?"
"","??","?","?","","","","wi","suku","","","","wisuku","","wisoku"
"","??","?","?","","","","wi","s?i","","","","wis?i","","wisu?"
"","??","?","?","","","","wi","sha","","","","wisha","","wi?a"
"","??","?","?","","","","wi","sha","","","","wisha","","wi?a"
"","??","?","?","","","","wi","tsi","","","","witsi","","wi?e"
"","??","?","?","","","","wi","tsi","","","","witsi","","wi?e"
"","??","?","?","","","","wi","shi","","","","wishi","","wi?i"
"","??","?","?","","","","wi","shi","","","","wishi","","wi?i"
"","??","?","?","","","","wi","shi","","","","wishi","","wi?i"
"","??","?","?","","","","wi","tsi","","","","witsi","","wi?i"
"","??","?","?","","","","wi","shi","","","","wishi","","wi?i"
"","??","?","?","","","","wi","tsi","","","","witsi","","wi?i"
"","??","?","?","","","","wi","shi","","","","wishi","","wi?i"
"","??","?","?","","","","wi","shiki","","","","wishiki","","wi?iki"
"","??","?","?","","","","?","shin","","","","?shin","","wi?in"
"","??","?","?","","","","wi","shin","","","","wishin","","wi?in"
"","??","?","?","","","","wi","shin","","","","wishin","","wi?in"
"","??","?","?","","","","wi","shis","","","","wishis","","wi?is"
"","??","?","?","","","","wi","sho","","","","wisho","","wi?o"
"","??","?","?","","","","wi","shoku","","","","wishoku","","wi?oku"
"","??","?","?","","","","wi","shu","","","","wishu","","wi?u"
"","??","?","?","","","","?","tsu","","","","?tsu","","wi?u"
"","??","?","?","","","","i","taku","","","","itaku","","witaku"
"","???","?","?","?","","","wi","ta","","","","wita","","witapu"
"","??","?","?","","","","wi","toku","","","","witoku","","witoku"
"","??","?","?","","","","wi","tsi","","","","witsi","","wi?i"
"","??","?","?","","","","wi","tsi","","","","witsi","","wi?i"
"","??","?","?","","","","wi","chi","","","","wichi","","wi?i"
"","??","?","?","","","","wi","ch?n","","","","wich?n","","wi?a?n"
"","??","?","?","","","","?","tai","","","","?tai","","wi?e"
"","??","?","?","","","","wi","tai","","","","witai","","wi?e"
"","??","?","?","","","","wi","chi","","","","wichi","","wi?i"
"","??","?","?","","","","?","zhun","","","","?zhun","","wi?u"
"","??","?","?","","","","wi","wi","","","","wiwi","","wiwi"
"","??","?","?","","","","?","wi","","","","?wi","","wiwi"
"","??","?","?","","","","?","iki","","","","?iki","","wiwiki"
"","??","?","?","","","","wi","win","","","","wiwin","","wiwin"
"","??","?","?","","","","wi","win","","","","wiwin","","wiwin"
"","??","?","?","","","","wi","win","","","","wiwin","","wiwin"
"","??","?","?","","","","?","wya","","","","?wya","","wiwja"
"","??","?","?","","","","wi","wya","","","","wiwya","","wiwja"
"","??","?","?","","","","wi","wya","","","","wiwya","","wiwja"
"","??","?","?","","","","?","zai","","","","?zai","","wizai"
"","??","?","?","","","","i","tson","","","","itson","","wizon"
"","??","?","?","","","","wi","tson","","","","witson","","wizon"
"","??","?","?","","","","wi","zuku","","","","wizuku","","wizuku"
"","??","?","?","","","","?","zhi","","","","?zhi","","wi?i"
"","??","?","?","","","","wi","zhin","","","","wizhin","","wi?in"
"","??","?","?","","","","wi","jin","","","","wijin","","wi?in"
"","??","?","?","","","","wi","","","","","wi","","wi?"
"","??","?","?","","","","wi","","","","","wi","","wi?"
"","??","?","?","","","","wi","kyos","","","","wikyos","","wi?"
"","??","?","?","","","","wi","zhi","","","","wizhi","","wini"
"","??","?","?","","","","wi","chuku","","","","wichuku","","wi?"
"","??","?","?","","","","wi","ch?n","","","","wich?n","","wi?"
"","??","?","?","","","","i","choku","","","","ichoku","","wi?"
"","??","?","?","","","","wi","muku","","","","wimuku","","wi?"
"","??","?","?","","","","wi","sau","","","","wisau","","wisu?"
"","??","?","?","","","","?","sai","","","","?sai","","wisai"
"","???","?","?","?","","","i","","","","","i","","wi??i"
"","??","?","?","","","","wi","kon","","","","wikon","","wi?"
"","??","?","?","","","","wi","fun","","","","wifun","","wi?"
"","??","?","?","","","","wi","","","","","wi","","wi?"
"","??","?","?","","","","wi","n?","","","","win?","","wi?"
"","??","?","?","","","","wi","ryes","","","","wiryes","","wirjes"
"","??","?","?","","","","h?","sei","","","","h?sei","","wi?"
"","??","?","?","","","","wi","","","","","wi","","wi?"
"","??","?","?","","","","wi","ry?","","","","wiry?","","wirjo?"
"","??","?","?","","","","?","ts?n","","","","?ts?n","","wi?o?"
"","??","?","?","","","","wi","tso","","","","witso","","wi?o"
"","??","?","?","","","","wi","ei","","","","wiei","","wi?"
"","??","?","?","","","","?","bau","","","","?bau","","wi?"
"","??","?","?","","","","wi","z?n","","","","wiz?n","","wi?"
"","??","?","?","","","","wi","swi","","","","wiswi","","wi?"
"","??","?","?","","","","wi","seku","","","","wiseku","","wiseku"
"","??","?","?","","","","wi","has","","","","wihas","","wi?"
"","??","?","?","","","","i","roi","","","","iroi","","wi?"
"","??","?","?","","","","i","yan","","","","iyan","","wikwan"
"","??","?","?","","","","wi","pas","","","","wipas","","wi?"
"","??","?","?","","","","wya","by?","","","","wyaby?","","wjabjo?"
"","??","?","?","","","","wya","ku","","","","wyaku","","wjagu"
"","??","?","?","","","","wya","hwa","","","","wyahwa","","wjaha"
"","??","?","?","","","","wya","y?n","","","","wyay?n","","wjajo?"
"","??","?","?","","","","wya","kai","","","","wyakai","","wjakai"
"","??","?","?","","","","wya","hw?n","","","","wyahw?n","","wjakjau"
"","??","?","?","","","","wya","mu","","","","wyamu","","wjamu"
"","??","?","?","","","","wya","hou","","","","wyahou","","wjapo?"
"","??","?","?","","","","wya","h?/h?","","","","wyah?/h?","","wjapo?"
"","??","?","?","","","","wya","en","","","","wyaen","","wjarjuku"
"","??","?","?","","","","wya","sha","","","","wyasha","","wja?a"
"","??","?","?","","","","wya","shu","","","","wyashu","","wja?u"
"","??","?","?","","","","wya","tai","","","","wyatai","","wjatai"
"","??","?","?","","","","wya","cheke","","","","wyacheke","","wja?uku"
"","??","?","?","","","","yo","","","","","yo","","wo?"
"","??","?","?","","","","yo","nan","","","","yonan","","wodan"
"","??","?","?","","","","ko","d?","","","","kod?","","wodo?"
"","??","?","?","","","","yo","zh?n","","","","yozh?n","","wo?a?n"
"","??","?","?","","","","yo","z?","","","","yoz?","","wo?a?n"
"","??","?","?","","","","ko","den","","","","koden","","wo?en"
"","??","?","?","","","","ko","zhi","","","","kozhi","","wo?i"
"","??","?","?","","","","yo","yon","","","","yoyon","","wogon"
"","??","?","?","","","","ko","hai","","","","kohai","","wohai"
"","??","?","?","","","","ko","yoki","","","","koyoki","","wojaki"
"","??","?","?","","","","yo","?s","","","","yo?s","","wojo?"
"","??","?","?","","","","ko","y?","","","","koy?","","wojo?"
"","??","?","?","","","","yo","kaku","","","","yokaku","","wokaku"
"","??","?","?","","","","yo","kan","","","","yokan","","wokan"
"","??","?","?","","","","yo","kei","","","","yokei","","wokei"
"","??","?","?","","","","ko","ki","","","","koki","","woki"
"","??","?","?","","","","yo","gyoku","","","","yogyoku","","wokjaku"
"","??","?","?","","","","yo","kyau","","","","yokyau","","wokjo?"
"","??","?","?","","","","koku","mun","","","","kokumun","","wokumun"
"","??","?","?","","","","koku","sos","","","","kokusos","","wokuso?s"
"","??","?","?","","","","koku","sha","","","","kokusha","","woku?a"
"","??","?","?","","","","koku","shi","","","","kokushi","","woku?i"
"","??","?","?","","","","koku","soin","","","","kokusoin","","woku?"
"","??","?","?","","","","yo","mi","","","","yomi","","womi"
"","??","?","?","","","","yo","moku","","","","yomoku","","womuku"
"","?","?","","","","","won","#NUM!","","","","#NUM!","","won"
"","??","?","?","","","","yo","nyun","","","","yonyun","","wonju?n"
"","??","?","?","","","","yo","nyo","","","","yonyo","","wono"
"","??","?","?","","","","yo","n?n","","","","yon?n","","wono?n"
"","??","?","?","","","","yo","on","","","","yoon","","woon"
"","??","?","?","","","","ko","hai","","","","kohai","","wopai"
"","??","?","?","","","","yo","pei","","","","yopei","","wopei"
"","??","?","?","","","","ko","hou","","","","kohou","","wopo?"
"","??","?","?","","","","yo","pun","","","","yopun","","wopun"
"","??","?","?","","","","yo","ryun","","","","yoryun","","woron"
"","??","?","?","","","","yo","san","","","","yosan","","wosan"
"","??","?","?","","","","ko","san","","","","kosan","","wosan"
"","??","?","?","","","","yo","seku","","","","yoseku","","woseku"
"","??","?","?","","","","ko","sha","","","","kosha","","wo?a"
"","??","?","?","","","","ko","sha","","","","kosha","","wo?a"
"","??","?","?","","","","ko","shin","","","","koshin","","wo?in"
"","??","?","?","","","","ko","shin","","","","koshin","","wo?in"
"","??","?","?","","","","ko","tas","","","","kotas","","wota?"
"","??","?","?","","","","yo","toku","","","","yotoku","","wotoku"
"","??","?","?","","","","ko","doku","","","","kodoku","","wotoku"
"","??","?","?","","","","yo","chi","","","","yochi","","wo?i"
"","??","?","?","","","","ko","","","","","ko","","wo?"
"","??","?","?","","","","yo","sai","","","","yosai","","wosai"
"","??","?","?","","","","ko","shoku","","","","koshoku","","wo?"
"","??","?","?","","","","ko","paku","","","","kopaku","","wopaku"
"","??","?","?","","","","yo","kuku","","","","yokuku","","wo?"
"","??","?","?","","","","yo","","","","","yo","","wo?"
"","??","?","?","","","","yo","swe","","","","yoswe","","wo?"
"","??","?","?","","","","che","hy?","","","","chehy?","","zaikjo?"
"","??","?","?","","","","zai","ryo","","","","zairyo","","zairjo"
"","?","?","","","","","zan","#NUM!","","","","#NUM!","","zan"
"","??","?","?","","","","zan","sas","","","","zansas","","zansas"
"","??","?","?","","","","zan","shu","","","","zanshu","","zan?u"
"","?","?","","","","","zei","#NUM!","","","","#NUM!","","ze"
"","??","?","?","","","","po","zei","","","","pozei","","ze"
"","??","?","?","","","","zei","kin","","","","zeikin","","zekin"
"","??","?","?","","","","zei","moku","","","","zeimoku","","zemuku"
"","??","?","?","","","","zen","go","","","","zengo","","zengo"
"","??","?","?","","","","zen","","","","","zen","","zenhaku"
"","??","?","?","","","","zen","ka","","","","zenka","","zenka"
"","??","?","?","","","","zen","mun","","","","zenmun","","zenmun"
"","??","?","?","","","","zen","swoku","","","","zenswoku","","zenseki"
"","??","?","?","","","","zen","sha","","","","zensha","","zen?a"
"","??","?","?","","","","zen","tei/j?n","","","","zentei/j?n","","zen?o?"
"","??","?","?","","","","zen","cheke","","","","zencheke","","zen?eke"
"","??","?","?","","","","zen","win","","","","zenwin","","zenwin"
"","??","?","?","","","","zen","ryou","","","","zenryou","","zen?"
"","??","?","?","","","","zei","ch?","","","","zeich?","","ze?o"
"","??","?","?","","","","zei","wen","","","","zeiwen","","zewen"
"","?","?","","","","","s?n","#NUM!","","","","#NUM!","","zo?"
"","??","?","?","","","","s?n","d?n","","","","s?nd?n","","zo?da?n"
"","??","?","?","","","","s?n","dan","","","","s?ndan","","zo?dan"
"","??","?","?","","","","s?n","ji","","","","s?nji","","zo??i"
"","??","?","?","","","","s?n","p?n","","","","s?np?n","","zo?hei"
"","??","?","?","","","","s?n","fuku","","","","s?nfuku","","zo?huku"
"","??","?","?","","","","s?n","i","","","","s?ni","","zo?i"
"","??","?","?","","","","s?n","kan","","","","s?nkan","","zo?kan"
"","??","?","?","","","","s?n","kei/ky?n","","","","s?nkei/ky?n","","zo?kjo?n"
"","??","?","?","","","","s?n","k?n","","","","s?nk?n","","zo?mo?"
"","??","?","?","","","","s?n","ruku","","","","s?nruku","","zo?rjoku"
"","??","?","?","","","","s?n","swoku","","","","s?nswoku","","zo?seki"
"","??","?","?","","","","s?n","to/tsu","","","","s?nto/tsu","","zo?to"
"","??","?","?","","","","s?n","chiku","","","","s?nchiku","","zo??oku"
"","??","?","?","","","","s?n","tai","","","","s?ntai","","zo??e"
"","??","?","?","","","","s?n","zuku","","","","s?nzuku","","zo?zoku"
"","??","?","?","","","","s?n","ni","","","","s?nni","","zo??"
"","??","?","?","","","","zuku","kwa","","","","zukukwa","","zokkwa"
"","??","?","?","","","","zuku","aku","","","","zukuaku","","zokuaku"
"","??","?","?","","","","zuku","ji","","","","zukuji","","zokubi"
"","??","?","?","","","","zuku","mus","","","","zukumus","","zokubus"
"","??","?","?","","","","zuku","tan","","","","zukutan","","zokudan"
"","??","?","?","","","","zuku","zhi","","","","zukuzhi","","zoku?i"
"","??","?","?","","","","zuku","go","","","","zukugo","","zokugo"
"","??","?","?","","","","zuku","kai","","","","zukukai","","zokukai"
"","??","?","?","","","","zuku","kan","","","","zukukan","","zokukan"
"","??","?","?","","","","zuku","ry?n","","","","zukury?n","","zokurjun"
"","??","?","?","","","","zuku","ron","","","","zukuron","","zokuron"
"","??","?","?","","","","zuku","tsi","","","","zukutsi","","zoku?i"
"","??","?","?","","","","zuku","shin","","","","zukushin","","zoku?in"
"","??","?","?","","","","zuku","sho","","","","zukusho","","zoku?o"
"","??","?","?","","","","zuku","zhin","","","","zukuzhin","","zoku?in"
"","??","?","?","","","","zuku","","","","","zuku","","zoku?"
"","??","?","?","","","","zuku","sh?","","","","zukush?","","zoku?u?"
"","??","?","?","","","","zuku","","","","","zuku","","zoku?"
"","??","?","?","","","","zuku","y?","","","","zukuy?","","zoku?"
"","??","?","?","","","","tson","zai","","","","tsonzai","","zon?ai"
"","??","?","?","","","","tson","pai","","","","tsonpai","","zonhe"
"","??","?","?","","","","tson","fu","","","","tsonfu","","zonpi"
"","??","?","?","","","","tson","soku","","","","tsonsoku","","zonsoku"
"","??","?","?","","","","tson","chi","","","","tsonchi","","zon?i"
"","??","?","?","","","","suku","kan","","","","sukukan","","zukkan"
"","??","?","?","","","","suku","kuku","","","","sukukuku","","zukkuku"
"","??","?","?","","","","zoku","gun","","","","zokugun","","zukugun"
"","??","?","?","","","","zoku","p?n","","","","zokup?n","","zukuhei"
"","??","?","?","","","","suku","m?n","","","","sukum?n","","zukuma?n"
"","??","?","?","","","","suku","moku","","","","sukumoku","","zukumuku"
"","??","?","?","","","","suku","ry?n","","","","sukury?n","","zukurja?n"
"","??","?","?","","","","zuku","en","","","","zukuen","","zukurjuku"
"","??","?","?","","","","zuku","sei","","","","zukusei","","zukusei"
"","??","?","?","","","","suku","tsi","","","","sukutsi","","zuku?i"
"","??","?","?","","","","suku","zhin","","","","sukuzhin","","zuku?in"
"","??","?","?","","","","zoku","jin","","","","zokujin","","zuku?in"
"","??","?","?","","","","suku","zh?","","","","sukuzh?","","zuku?u?"
"","??","?","?","","","","suku","ryo","","","","sukuryo","","zuku?"
"","??","?","?","","","","zuku","fu","","","","zukufu","","zuku?"
"","?","?","","","","","z?n","#NUM!","","","","#NUM!","","?a?n"
"","??","?","?","","","","z?n","ji","","","","z?nji","","?a?nbi"
"","??","?","?","","","","z?n","gan","","","","z?ngan","","?a?ngan"
"","??","?","?","","","","z?n","kan","","","","z?nkan","","?a?nhen"
"","??","?","?","","","","z?n","kei/ky?n","","","","z?nkei/ky?n","","?a?nkjo?n"
"","??","?","?","","","","z?","pan","","","","z?pan","","?a?npan"
"","??","?","?","","","","z?","hon/pon","","","","z?hon/pon","","?a?npon"
"","??","?","?","","","","z?n","tu","","","","z?ntu","","?a?ntu"
"","??","?","?","","","","z?","niki","","","","z?niki","","?a?n?"
"","??","?","?","","","","z?n","ts?n","","","","z?nts?n","","?a?n?"
"","??","?","?","","","","tsa","mun","","","","tsamun","","?abun"
"","??","?","?","","","","choku","nis","","","","chokunis","","?akunis"
"","??","?","?","","","","tsa","kan","","","","tsakan","","?akwan"
"","??","?","?","","","","tsas","mus","","","","tsasmus","","?aspus"
"","??","?","?","","","","tsas","gi","","","","tsasgi","","?aski"
"","??","?","?","","","","tsas","yon","","","","tsasyon","","?askon"
"","??","?","?","","","","tsas","hi","","","","tsashi","","?a??i"
"","??","?","?","","","","tsas","yoki","","","","tsasyoki","","?a??aku"
"","??","?","?","","","","tsas","ka","","","","tsaska","","?aska"
"","??","?","?","","","","tsas","","","","","tsas","","?askaku"
"","??","?","?","","","","tsas","kan","","","","tsaskan","","?askan"
"","??","?","?","","","","tsas","p?n","","","","tsasp?n","","?askei"
"","??","?","?","","","","tsas","ki","","","","tsaski","","?aski"
"","??","?","?","","","","tsas","ki","","","","tsaski","","?aski"
"","??","?","?","","","","tsas","mi","","","","tsasmi","","?asmi"
"","??","?","?","","","","tsas","mu","","","","tsasmu","","?asmu"
"","??","?","?","","","","tsas","mun","","","","tsasmun","","?asmun"
"","??","?","?","","","","tsas","nen","","","","tsasnen","","?asnjen"
"","??","?","?","","","","tsas","pin","","","","tsaspin","","?aspin"
"","??","?","?","","","","tsas","hou","","","","tsashou","","?aspo?"
"","??","?","?","","","","tsas","ruku","","","","tsasruku","","?asrjoku"
"","??","?","?","","","","tsas","seku","","","","tsasseku","","?asseku"
"","??","?","?","","","","tsas","sos","","","","tsassos","","?assos"
"","??","?","?","","","","tsas","soku","","","","tsassoku","","?assuku"
"","??","?","?","","","","tsas","tsi","","","","tsastsi","","?as?i"
"","??","?","?","","","","tsas","shi","","","","tsasshi","","?as?i"
"","??","?","?","","","","tsas","shoku","","","","tsasshoku","","?as?oku"
"","??","?","?","","","","tsas","hwa","","","","tsashwa","","?aswa"
"","??","?","?","","","","tsas","zhin","","","","tsaszhin","","?as?in"
"","??","?","?","","","","tsas","kuku","","","","tsaskuku","","?as?"
"","??","?","?","","","","tsas","kin","","","","tsaskin","","?a??in"
"","??","?","?","","","","tsas","ei","","","","tsasei","","?as?"
"","??","?","?","","","","tsa","shin","","","","tsashin","","?a?in"
"","??","?","?","","","","tsa","tai","","","","tsatai","","?a?e"
"","?","?","","","","","zhei","#NUM!","","","","#NUM!","","?ei"
"","?2","?","2","","","","zhei","","","","","zhei","","?ei1"
"","??","?","?","","","","nei","zh?n","","","","neizh?n","","?ei?a?n"
"","??","?","?","","","","nei","gan","","","","neigan","","?eigan"
"","??","?","?","","","","nei","ry?n","","","","neiry?n","","?eirjun"
"","???","?","?","?","","","zhei","nuku","","","","zheinuku","","?ei?kan"
"","??","?","?","","","","nei","","","","","nei","","?ei?"
"","??","?","?","","","","nei","tan","","","","neitan","","?eitan"
"","??","?","?","","","","tso","ya","","","","tsoya","","?eja"
"","??","?","?","","","","tso","kyaku","","","","tsokyaku","","?ekaku"
"","??","?","?","","","","tso","maku","","","","tsomaku","","?emaku"
"","??","?","?","","","","tso","m?","","","","tsom?","","?emo?"
"","??","?","?","","","","tso","moku","","","","tsomoku","","?emuku"
"","??","?","?","","","","tso","rei/ry?n","","","","tsorei/ry?n","","?erei"
"","??","?","?","","","","tso","swoku","","","","tsoswoku","","?eseki"
"","??","?","?","","","","tso","shes","","","","tsoshes","","?eses"
"","??","?","?","","","","tso","s?","","","","tsos?","","?esu"
"","??","?","?","","","","tso","sh?s","","","","tsosh?s","","?e?is"
"","??","?","?","","","","tso","tai","","","","tsotai","","?etai"
"","??","?","?","","","","tso","tsoki","","","","tsotsoki","","?e?"
"","??","?","?","","","","tso","sai","","","","tsosai","","?e?ai"
"","??","?","?","","","","tso","sh?","","","","tsosh?","","?e?u?"
"","??","?","?","","","","tso","kin","","","","tsokin","","?ehin"
"","??","?","?","","","","tso","ts?n","","","","tsots?n","","?e?u"
"","??","?","?","","","","zhi","","","","","zhi","","?idai"
"","??","?","?","","","","shi","hyen","","","","shihyen","","?igwen"
"","??","?","?","","","","zhi","fuku","","","","zhifuku","","?ihuku"
"","??","?","?","","","","zhi","ka","","","","zhika","","?ika"
"","??","?","?","","","","zhi","kan","","","","zhikan","","?ikan"
"","??","?","?","","","","zhi","kei","","","","zhikei","","?ikei"
"","??","?","?","","","","shi","kyau","","","","shikyau","","?ikjo?"
"","??","?","?","","","","zhi","mu","","","","zhimu","","?imu"
"","??","?","?","","","","zhi","mun","","","","zhimun","","?imun"
"","??","?","?","","","","zhin","ma","","","","zhinma","","?inba"
"","??","?","?","","","","zhin","byes","","","","zhinbyes","","?inbjes"
"","??","?","?","","","","zhin","mus","","","","zhinmus","","?inbus"
"","??","?","?","","","","zhin","d?","","","","zhind?","","?indo?"
"","??","?","?","","","","jin","d?","","","","jind?","","?indo?"
"","??","?","?","","","","zhin","zai","","","","zhinzai","","?in?ai"
"","??","?","?","","","","jin","j?/ts?n","","","","jinj?/ts?n","","?in?u?n"
"","??","?","?","","","","zhin","go","","","","zhingo","","?ingo"
"","??","?","?","","","","zhin","hen","","","","zhinhen","","?inhen"
"","??","?","?","","","","zhi","nis","","","","zhinis","","?inis"
"","??","?","?","","","","zhin","kaku","","","","zhinkaku","","?inkaku"
"","??","?","?","","","","zhin","kan","","","","zhinkan","","?inkan"
"","??","?","?","","","","zhin","ki","","","","zhinki","","?inki"
"","??","?","?","","","","zhin","kei/ky?n","","","","zhinkei/ky?n","","?inkjo?n"
"","??","?","?","","","","zhin","k?","","","","zhink?","","?inko?"
"","??","?","?","","","","zhin","kwon","","","","zhinkwon","","?inkon"
"","??","?","?","","","","zhin","kos","","","","zhinkos","","?inkos"
"","??","?","?","","","","zhin","ku","","","","zhinku","","?inku"
"","??","?","?","","","","zhin","hou","","","","zhinhou","","?inku?"
"","?liki?","#REF!","","","","","#REF!","#REF!","","","","#REF!","","?inliki?a"
"","??","?","?","","","","zhin","roi","","","","zhinroi","","?inlwi"
"","??","?","?","","","","zhin","min","","","","zhinmin","","?inmin"
"","??","?","?","","","","zhin","myen","","","","zhinmyen","","?inmjen"
"","??","?","?","","","","zhin","mun","","","","zhinmun","","?inmun"
"","????","?","?","?","?","","zhin","mun","","","","zhinmun","","?inmun?uwi"
"","??","?","?","","","","zhin","nuku","","","","zhinnuku","","?innuku"
"","??","?","?","","","","zhin","pin","","","","zhinpin","","?inpin"
"","??","?","?","","","","zhin","h?/h?","","","","zhinh?/h?","","?inpo?"
"","??","?","?","","","","zhin","ryun","","","","zhinryun","","?inlon"
"","??","?","?","","","","zhin","se","","","","zhinse","","?inse"
"","??","?","?","","","","zhin","sei","","","","zhinsei","","?insei"
"","??","?","?","","","","zhin","sei","","","","zhinsei","","?insei"
"","??","?","?","","","","jin","swoku","","","","jinswoku","","?inseki"
"","??","?","?","","","","zhin","sen","","","","zhinsen","","?insen"
"","??","?","?","","","","zhin","suku","","","","zhinsuku","","?insoku"
"","??","?","?","","","","zhin","s?","","","","zhins?","","?insu"
"","??","?","?","","","","zhin","s?n","","","","zhins?n","","?in?a?n"
"","??","?","?","","","","jin","tsi","","","","jintsi","","?in?e"
"","??","?","?","","","","zhin","tsi","","","","zhintsi","","?in?i"
"","??","?","?","","","","zhin","shi","","","","zhinshi","","?in?i"
"","??","?","?","","","","zhin","shin/jin","","","","zhinshin/jin","","?in?in"
"","??","?","?","","","","zhin","tsu","","","","zhintsu","","?in?u"
"","??","?","?","","","","zhin","toku","","","","zhintoku","","?intoku"
"","??","?","?","","","","zhin","tsi","","","","zhintsi","","?in?i"
"","??","?","?","","","","zhin","tei/j?n","","","","zhintei/j?n","","?in?o?"
"","??","?","?","","","","zhin","chi","","","","zhinchi","","?in?i"
"","??","?","?","","","","zhin","tu","","","","zhintu","","?intu"
"","??","?","?","","","","zhin","wai","","","","zhinwai","","?inwai"
"","??","?","?","","","","zhin","zai","","","","zhinzai","","?inzai"
"","??","?","?","","","","zhin","jin","","","","zhinjin","","?in?in"
"","??","?","?","","","","jin","zhin","","","","jinzhin","","?in?in"
"","??","?","?","","","","zhin","sai","","","","zhinsai","","?in?ai"
"","??","?","?","","","","zhin","yen","","","","zhinyen","","?ino?n"
"","??","?","?","","","","zhin","tsuku","","","","zhintsuku","","?in?"
"","??","?","?","","","","zhin","ts?n","","","","zhints?n","","?in?o?"
"","??","?","?","","","","zhin","","","","","zhin","","?in?"
"","??","?","?","","","","zhin","kyen","","","","zhinkyen","","?in?"
"","??","?","?","","","","zhin","seku","","","","zhinseku","","?inseku"
"","??","?","?","","","","zhi","hen","","","","zhihen","","?ipen"
"","??","?","?","","","","zhi","py?n","","","","zhipy?n","","?ipjo"
"","??","?","?","","","","zhi","p?n","","","","zhip?n","","?ipu?n"
"","??","?","?","","","","zhi","ry?n","","","","zhiry?n","","?irjun"
"","??","?","?","","","","zhi","sei","","","","zhisei","","?isei"
"","??","?","?","","","","zhi","sei","","","","zhisei","","?isei"
"","??","?","?","","","","zhi","tsi","","","","zhitsi","","?i?i"
"","??","?","?","","","","shi","tas","","","","shitas","","?itas"
"","??","?","?","","","","zhi","wi","","","","zhiwi","","?itei"
"","??","?","?","","","","zhi","ten","","","","zhiten","","?iten"
"","??","?","?","","","","zhi","un","","","","zhiun","","?iun"
"","??","?","?","","","","zhi","zhin","","","","zhizhin","","?i?in"
"","??","?","?","","","","zhi","ch?n","","","","zhich?n","","?i?u?"
"","??","?","?","","","","shi","ch?n","","","","shich?n","","?i?u?"
"","??","?","?","","","","shi","","","","","shi","","?i?"
"","??","?","?","","","","zhi","hau","","","","zhihau","","?iho?"
"","??","?","?","","","","zhi","kaku","","","","zhikaku","","?ikoku"
"","??","?","?","","","","zhi","kyo","","","","zhikyo","","?ikyo"
"","??","?","?","","","","shi","sa","","","","shisa","","?i?"
"","??","?","?","","","","shi","i","","","","shii","","?i?"
"","??","?","?","","","","shi","cheku","","","","shicheku","","?i?"
"","??","?","?","","","","zhi","hei","","","","zhihei","","?i?"
"","?","?","","","","","ch?n/j?n","#NUM!","","","","#NUM!","","?o?"
"","??","?","?","","","","ch?n/j?n","","","","","ch?n/j?n","","?o?dai"
"","??","?","?","","","","ch?n/j?n","dyen","","","","ch?n/j?ndyen","","?o?djen"
"","??","?","?","","","","ch?n/j?n","zhun","","","","ch?n/j?nzhun","","?o??un"
"","??","?","?","","","","ch?n/j?n","pon","","","","ch?n/j?npon","","?o?han"
"","??","?","?","","","","ch?n/j?n","y?n","","","","ch?n/j?ny?n","","?o?ja?n"
"","??","?","?","","","","ch?n/j?n","yoki","","","","ch?n/j?nyoki","","?o?jaki"
"","??","?","?","","","","ch?n/j?n","y?","","","","ch?n/j?ny?","","?o?jo?"
"","??","?","?","","","","ch?n/j?n","yu","","","","ch?n/j?nyu","","?o?ju"
"","??","?","?","","","","ch?n/j?n","k?","","","","ch?n/j?nk?","","?o?ka?"
"","???","?","?","?","","","ch?n/j?n","kei/ky?n","","","","ch?n/j?nkei/ky?n","","?o?kei?o?"
"","??","?","?","","","","ch?n/j?n","ki","","","","ch?n/j?nki","","?o?ki"
"","???","?","?","?","","","ch?n/j?n","k?","","","","ch?n/j?nk?","","?o?ko?wja"
"","??","?","?","","","","ch?n/j?n","hon","","","","ch?n/j?nhon","","?o?kon"
"","??","?","?","","","","ch?n/j?n","kw?","","","","ch?n/j?nkw?","","?o?kwo?"
"","?liki","?","l","i","k","i","ch?n/j?n","","","","","ch?n/j?n","","?o?liki"
"","??","?","?","","","","ch?n/j?n","bas","","","","ch?n/j?nbas","","?o?mos"
"","??","?","?","","","","ch?n/j?n","mun","","","","ch?n/j?nmun","","?o?mun"
"","?","?","","","","","zou","#NUM!","","","","#NUM!","","?o?n"
"","??","?","?","","","","zou","pus","","","","zoupus","","?o?nbus"
"","??","?","?","","","","zou","mus","","","","zoumus","","?o?nbus"
"","??","?","?","","","","sau","dan","","","","saudan","","?o?ndan"
"","??","?","?","","","","zou","ei","","","","zouei","","?o?nei"
"","??","?","?","","","","ch?n/j?n","nin","","","","ch?n/j?nnin","","?o?nin"
"","??","?","?","","","","zou","kyes","","","","zoukyes","","?o?nkes"
"","??","?","?","","","","sau","kyau","","","","saukyau","","?o?nkjo?"
"","??","?","?","","","","zou","kwa","","","","zoukwa","","?o?nkwa"
"","??","?","?","","","","zou","hwa","","","","zouhwa","","?o?nkwa"
"","??","?","?","","","","zou","rin","","","","zourin","","?o?nlin"
